objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14427758,107276,AVN BORGES DE MEDEIROS,027,Lagoa                     ,2,RESIDENCIAL,APARTAMENTO,100,140.5,2189740.995,2189740.995,COMPRA E VENDA,2023,01,12
14427759,068908,RUA CORCOVADO,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,123,1279059.605,1279059.605,COMPRA E VENDA,2023,01,7
14427760,071126,RUA EURICO CRUZ,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,141,2623997.645,2623997.645,COMPRA E VENDA,2023,01,11
14427761,074179,RUA JARDIM BOTANICO,028,Jardim Botânico           ,6,RESIDENCIAL,APARTAMENTO,100,94.166666,1240425.106666,1240425.106666,COMPRA E VENDA,2023,01,9
14427762,074179,RUA JARDIM BOTANICO,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,108.5,1500626.755,1500626.755,COMPRA E VENDA,2023,01,12
14427763,075481,RUA LOPES QUINTAS,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,118,1782623.145,1782623.145,COMPRA E VENDA,2023,01,2
14427764,075481,RUA LOPES QUINTAS,028,Jardim Botânico           ,3,RESIDENCIAL,APARTAMENTO,100,136.333333,2259580.883333,2259580.883333,COMPRA E VENDA,2023,01,5
14427765,076372,RUA MARIA ANGELICA,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,72,1233226.69,1233226.69,COMPRA E VENDA,2023,01,3
14427766,078386,RUA PACHECO LEAO,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,152,1246490.93,1246490.93,COMPRA E VENDA,2023,01,7
14427767,078386,RUA PACHECO LEAO,028,Jardim Botânico           ,2,RESIDENCIAL,CASA,75,251,1225911.005,1628061.71,COMPRA E VENDA,2023,01,10
14427768,084103,RUA ITAIPAVA,028,Jardim Botânico           ,3,RESIDENCIAL,APARTAMENTO,100,74,1051944.43,1051944.43,COMPRA E VENDA,2023,01,9
14427769,086249,RUA PIO CORREIA,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,75,72,578362.515,764398.41,COMPRA E VENDA,2023,01,11
14427770,065755,RUA ARTUR ARARIPE,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,100,120.666666,1319140.776666,1319140.776666,COMPRA E VENDA,2023,01,5
14427771,076711,RUA MARQ DE SAO VICENTE,029,Gávea                     ,5,RESIDENCIAL,APARTAMENTO,80.778,70.6,677062.818,792721.69,COMPRA E VENDA,2023,01,8
14427772,076711,RUA MARQ DE SAO VICENTE,029,Gávea                     ,4,RESIDENCIAL,APARTAMENTO,100,83.75,1206173.695,1206173.695,COMPRA E VENDA,2023,01,11
14427773,080184,RUA GAL RABELO,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,100,98,1176624.396666,1176624.396666,COMPRA E VENDA,2023,01,12
14427774,104935,RUA PROF GASTAO BAHIANA,027,Lagoa                     ,2,RESIDENCIAL,APARTAMENTO,100,102.5,1071780.57,1071780.57,COMPRA E VENDA,2023,01,5
14427775,104935,RUA PROF GASTAO BAHIANA,027,Lagoa                     ,2,RESIDENCIAL,APARTAMENTO,62.5,163.5,934497.205,2167782.55,COMPRA E VENDA,2023,01,11
14427776,107276,AVN BORGES DE MEDEIROS,027,Lagoa                     ,3,RESIDENCIAL,APARTAMENTO,83.333333,148.666666,1942242.693333,2169695.38,COMPRA E VENDA,2023,01,10
14427777,068908,RUA CORCOVADO,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,262.5,3322491.335,3322491.335,COMPRA E VENDA,2023,01,8
14427778,071126,RUA EURICO CRUZ,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,146,1842951.65,1842951.65,COMPRA E VENDA,2023,01,4
14427779,074179,RUA JARDIM BOTANICO,028,Jardim Botânico           ,6,RESIDENCIAL,APARTAMENTO,100,73.666666,866713.723333,866713.723333,COMPRA E VENDA,2023,01,5
14427780,074179,RUA JARDIM BOTANICO,028,Jardim Botânico           ,4,RESIDENCIAL,APARTAMENTO,100,74.75,1013196.8975,1013196.8975,COMPRA E VENDA,2023,01,8
14427781,075481,RUA LOPES QUINTAS,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,75,84.5,1011098.555,1262919.53,COMPRA E VENDA,2023,01,3
14427782,075481,RUA LOPES QUINTAS,028,Jardim Botânico           ,2,RESIDENCIAL,APARTAMENTO,100,97.5,1427904.24,1427904.24,COMPRA E VENDA,2023,01,6
14427783,075481,RUA LOPES QUINTAS,028,Jardim Botânico           ,5,RESIDENCIAL,APARTAMENTO,100,102.4,1347221.654,1347221.654,COMPRA E VENDA,2023,01,9
14427784,064063,RUA DAS ACACIAS,029,Gávea                     ,2,RESIDENCIAL,CASA,75,179,1140869.655,1761428.415,COMPRA E VENDA,2023,01,8
14427785,065755,RUA ARTUR ARARIPE,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,100,126.333333,1763054.3,1763054.3,COMPRA E VENDA,2023,01,8
14427786,076711,RUA MARQ DE SAO VICENTE,029,Gávea                     ,2,RESIDENCIAL,APARTAMENTO,100,96.5,1398638.79,1398638.79,COMPRA E VENDA,2023,01,4
14427787,076711,RUA MARQ DE SAO VICENTE,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,75,80,991216.203333,1218670.043333,COMPRA E VENDA,2023,01,7
14427788,076711,RUA MARQ DE SAO VICENTE,029,Gávea                     ,10,RESIDENCIAL,APARTAMENTO,80.666,104,1049494.101,1666721.005,COMPRA E VENDA,2023,01,10
14427789,078139,AVN PADRE LEONEL FRANCA,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,100,59.666666,575288.66,575288.66,COMPRA E VENDA,2023,01,11
14427790,080986,PRC SANTOS DUMONT,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,100,76,801600.76,801600.76,COMPRA E VENDA,2023,01,5
14427791,080986,PRC SANTOS DUMONT,029,Gávea                     ,3,RESIDENCIAL,APARTAMENTO,83.333333,72.333333,653093.233333,787926.076666,COMPRA E VENDA,2023,01,8
14427792,150250,RUA VCGOVE RUBENS BERARDO,029,Gávea                     ,2,RESIDENCIAL,APARTAMENTO,100,98.5,1331145.885,1331145.885,COMPRA E VENDA,2023,01,8
14427793,072447,ETR DA GAVEA,031,São Conrado               ,4,RESIDENCIAL,APARTAMENTO,100,159,1393035.155,1393035.155,COMPRA E VENDA,2023,01,3
14427794,072447,ETR DA GAVEA,031,São Conrado               ,2,RESIDENCIAL,APARTAMENTO,100,186.5,1671059.6,1671059.6,COMPRA E VENDA,2023,01,10
14427795,077891,AVN NIEMEYER,031,São Conrado               ,3,RESIDENCIAL,APARTAMENTO,93.333333,107.333333,941406.653333,1002133.43,COMPRA E VENDA,2023,01,1
14427796,077891,AVN NIEMEYER,031,São Conrado               ,2,RESIDENCIAL,APARTAMENTO,75,104.5,664253.505,907950.81,COMPRA E VENDA,2023,01,4
14427797,144733,AVN AQUARELA DO BRASIL,031,São Conrado               ,2,RESIDENCIAL,APARTAMENTO,100,120.5,1058215.325,1058215.325,COMPRA E VENDA,2023,01,7
14427798,144733,AVN AQUARELA DO BRASIL,031,São Conrado               ,2,RESIDENCIAL,APARTAMENTO,100,123,1202016.625,1202016.625,COMPRA E VENDA,2023,01,10
14427799,151662,AVN PREF MENDES DE MORAIS,031,São Conrado               ,3,RESIDENCIAL,APARTAMENTO,73.333333,253.333333,3549834.67,5014026.656666,COMPRA E VENDA,2023,01,6
